2@1#>>>>>>	=T	null	2	Wahlprogramm	wahl|programm	Wahl Programm	[ Wahl Programm ]
1@1#>>>>>>	=T	null	1	Wahlprogramm	Wahlprogramm	Wahlprogramm	Wahlprogramm
3@1#>>>>>>	=T	null	3	Bundestagswahl	bundes|tags|wahl	Bund Tag Wahl	[ [ Bund Tag ] Wahl ]
2@1#>>>>>>	=T	null	2	Bundestagswahl	bundestags|wahl	Bundestag Wahl	[ Bundestag Wahl ]
1@1#>>>>>>	=T	null	1	Bundestagswahl	Bundestagswahl	Bundestagswahl	Bundestagswahl
1@1#>>>>>>	=T	null	1	Programm	Programm	Programm	Programm
1@1#>>>>>>	=T	null	1	Freie	Freie	Freie	Freie
1@1#>>>>>>	=T	null	1	Demokrat	Demokrat	Demokrat	Demokrat
1@1#>>>>>>	=T	null	1	Präambel	Präambel	Präambel	Präambel
2@1#>>>>>>	=T	null	2	Arbeitsplatz	arbeits|platz	Arbeit Platz	[ Arbeit Platz ]
1@1#>>>>>>	=T	null	1	Arbeitsplatz	Arbeitsplatz	Arbeitsplatz	Arbeitsplatz
2@1#>>>>>>	=T	null	2	Wohlstand	wohl|stand	wohl Stand	[ wohl Stand ]
1@1#>>>>>>	=T	null	1	Wohlstand	Wohlstand	Wohlstand	Wohlstand
1@1#>>>>>>	=T	null	1	Gefahr	Gefahr	Gefahr	Gefahr
1@1#>>>>>>	=T	null	1	Eltern	Eltern	Eltern	Eltern
2@1#>>>>>>	=T	null	2	Großeltern	groß|eltern	groß Eltern	[ groß Eltern ]
1@1#>>>>>>	=T	null	1	Großeltern	Großeltern	Großeltern	Großeltern
2@1#>>>>>>	=T	null	2	Aufstiegschance	aufstiegs|chance	Aufstieg Chance	[ Aufstieg Chance ]
1@1#>>>>>>	=T	null	1	Aufstiegschance	Aufstiegschance	Aufstiegschance	Aufstiegschance
1@1#>>>>>>	=T	null	1	Kind	Kind	Kind	Kind
2@1#>>>>>>	=T	null	2	Enkelkind	enkel|kind	Enkel Kind	[ Enkel Kind ]
1@1#>>>>>>	=T	null	1	Enkelkind	Enkelkind	Enkelkind	Enkelkind
1@1#>>>>>>	=T	null	1	Sicherheit	Sicherheit	Sicherheit	Sicherheit
1@1#>>>>>>	=T	null	1	Migration	Migration	Migration	Migration
2@1#>>>>>>	=T	null	2	Kontrolle	kont|rolle	Kent Rolle	[ Kent Rolle ]
1@1#>>>>>>	=T	null	1	Kontrolle	Kontrolle	Kontrolle	Kontrolle
2@1#>>>>>>	=T	null	2	Wertentscheidung	wert|entscheidung	Wert Entscheidung	[ Wert Entscheidung ]
1@1#>>>>>>	=T	null	1	Wertentscheidung	Wertentscheidung	Wertentscheidung	Wertentscheidung
1@1#>>>>>>	=T	null	1	Demokratie	Demokratie	Demokratie	Demokratie
2@1#>>>>>>	=T	null	2	Grundrecht	grund|recht	Grund Recht	[ Grund Recht ]
1@1#>>>>>>	=T	null	1	Grundrecht	Grundrecht	Grundrecht	Grundrecht
1@1#>>>>>>	=T	null	1	Soziale	Soziale	Soziale	Soziale
2@1#>>>>>>	=T	null	2	Marktwirtschaft	markt|wirtschaft	Markt Wirtschaft	[ Markt Wirtschaft ]
1@1#>>>>>>	=T	null	1	Marktwirtschaft	Marktwirtschaft	Marktwirtschaft	Marktwirtschaft
1@1#>>>>>>	=T	null	1	Konsens	Konsens	Konsens	Konsens
2@1#>>>>>>	=T	null	2	Polarisierung	pol|arisierung	Polen Arisierung	[ Polen Arisierung ]
1@1#>>>>>>	=T	null	1	Polarisierung	Polarisierung	Polarisierung	Polarisierung
3@1#>>>>>>	=T	null	3	Offenheit	offen|he|it	offen He it	[ offen [ He it ] ]
